Time,Colour
4.030,4
4.040,4
4.050,4
4.060,4
4.070,4
4.080,4
4.090,4
4.100,4
4.110,4
4.120,4
4.130,4
4.140,4
4.150,4
4.160,4
4.170,4
4.180,4
4.190,4
4.200,4
4.210,4
4.220,4
4.230,4
4.240,4
4.250,4
4.260,4
4.270,4
4.280,4
4.290,4
4.300,4
4.310,4
4.320,4
4.330,4
4.340,4
4.350,4
4.360,4
4.370,4
4.380,4
4.390,4
4.400,3
4.410,3
4.420,3
4.430,3
4.440,3
4.450,3
4.460,3
4.470,3
4.480,3
4.490,3
4.500,3
4.510,3
4.520,3
4.530,3
4.540,3
4.550,3
4.560,3
4.570,3
4.580,3
4.590,3
4.600,3
4.610,3
4.620,3
4.630,3
4.640,3
4.650,3
4.660,3
4.670,3
4.680,3
4.690,3
4.700,3
4.710,3
4.720,3
4.730,3
4.740,3
4.750,3
4.760,3
4.770,3
4.780,3
4.790,3
4.800,3
4.810,3
4.820,3
4.830,3
4.840,3
4.850,3
4.860,3
4.870,3
4.880,3
4.890,3
4.900,3
4.910,3
4.920,3
4.930,3
4.940,3
4.950,3
4.960,3
4.970,4
4.980,4
4.990,4
5.000,4
5.010,4
5.020,4
5.030,4
5.040,4
5.050,4
5.060,4
5.070,4
5.080,4
5.090,4
5.100,4
5.110,4
5.120,4
5.130,4
5.140,4
5.150,4
5.160,4
5.170,4
5.180,4
5.190,4
5.200,4
5.210,4
5.220,4
5.230,4
5.240,4
5.250,4
5.260,4
5.270,4
5.280,4
5.290,4
5.300,4
5.310,4
5.320,4
5.330,4
5.340,4
5.350,4
5.360,4
5.370,4
5.380,4
5.390,4
5.400,4
5.410,4
5.420,4
5.430,4
5.440,4
5.450,2
5.460,2
5.470,2
5.480,2
5.490,2
5.500,2
5.510,2
5.520,2
5.530,2
5.540,2
5.550,2
5.560,2
5.570,2
5.580,2
5.590,2
5.600,2
5.610,2
5.620,2
5.630,2
5.640,2
5.650,2
5.660,2
5.670,2
5.680,2
5.690,2
5.700,2
5.710,2
5.720,2
5.730,2
5.740,2
5.750,2
5.760,2
5.770,2
5.780,2
5.790,2
5.800,2
5.810,2
5.820,2
5.830,2
5.840,2
5.850,2
5.860,2
5.870,2
5.880,2
5.890,2
5.900,2
5.910,2
5.920,2
5.930,2
5.940,2
5.950,2
5.960,2
5.970,2
5.980,2
5.990,2
6.000,2
6.010,2
6.020,2
6.030,2
6.040,2
6.050,2
6.060,2
6.070,2
6.080,2
6.090,2
6.100,2
6.110,2
6.120,2
6.130,2
6.140,2
6.150,2
6.160,2
6.170,2
6.180,2
6.190,2
6.200,2
6.210,2
6.220,2
6.230,2
6.240,2
6.250,2
6.260,2
6.270,2
6.280,2
6.290,2
6.300,2
6.310,2
6.320,2
6.330,2
6.340,2
6.350,2
6.360,2
6.370,2
6.380,2
6.390,2
6.400,2
6.410,2
6.420,2
6.430,2
6.440,2
6.450,2
6.460,2
6.470,2
6.480,2
6.490,2
6.500,2
6.510,2
6.520,2
6.530,2
6.540,2
6.550,2
6.560,2
6.570,2
6.580,2
6.590,2
6.600,2
6.610,2
6.620,2
6.630,2
6.640,2
6.650,2
6.660,2
6.670,2
6.680,2
6.690,2
6.700,2
6.710,2
6.720,2
6.730,2
6.740,2
6.750,2
6.760,2
6.770,2
6.780,2
6.790,2
6.800,2
6.810,2
6.820,2
6.830,2
6.840,2
6.850,2
6.860,2
6.870,2
6.880,2
6.890,3
6.900,3
6.910,3
6.920,3
6.930,3
6.940,3
6.950,3
6.960,3
6.970,3
6.980,3
6.990,3
7.000,3
7.010,3
7.020,3
7.030,3
7.040,3
7.050,3
7.060,3
7.070,3
7.080,3
7.090,3
7.100,3
7.110,3
7.120,3
7.130,3
7.140,3
7.150,3
7.160,3
7.170,3
7.180,3
7.190,3
7.200,3
7.210,3
7.220,3
7.230,3
7.240,3
7.250,3
7.260,3
7.270,3
7.280,3
7.290,3
7.300,3
7.310,3
7.320,3
7.330,3
7.340,3
7.350,3
7.360,3
7.370,5
7.380,5
7.390,5
7.400,5
7.410,5
7.420,5
7.430,5
7.440,5
7.450,5
7.460,5
7.470,5
7.480,5
7.490,5
7.500,5
7.510,5
7.520,5
7.530,5
7.540,5
7.550,5
7.560,5
7.570,5
7.580,5
7.590,5
7.600,5
7.610,5
7.620,5
7.630,5
7.640,7
7.650,7
7.660,7
7.670,7
7.680,7
7.690,7
7.700,7
7.710,7
7.720,7
7.730,7
7.740,7
7.750,7
7.760,7
7.770,7
7.780,7
7.790,7
7.800,7
7.810,7
7.820,7
7.830,7
7.840,3
7.850,3
7.860,3
7.870,3
7.880,3
7.890,3
7.900,3
7.910,3
7.920,3
7.930,3
7.940,3
7.950,3
7.960,3
7.970,3
7.980,3
7.990,3
8.000,3
8.010,3
8.020,3
8.030,3
8.040,3
8.050,3
8.060,3
8.070,3
8.080,3
8.090,3
8.100,3
8.110,3
8.120,3
8.130,3
8.140,3
8.150,3
8.160,3
8.170,3
8.180,3
8.190,3
8.200,3
8.210,3
8.220,3
8.230,3
8.240,3
8.250,3
8.260,3
8.270,3
8.280,3
8.290,3
8.300,3
8.310,3
8.320,3
8.330,3
8.340,3
8.350,3
8.360,3
8.370,3
8.380,3
8.390,3
8.400,3
8.410,3
8.420,3
8.430,3
8.440,3
8.450,3
8.460,3
8.470,3
8.480,3
8.490,3
8.500,3
8.510,3
8.520,3
8.530,3
8.540,3
8.550,3
8.560,3
8.570,3
8.580,3
8.590,3
8.600,3
8.610,3
8.620,3
8.630,2
8.640,2
8.650,2
8.660,2
8.670,2
8.680,2
8.690,2
8.700,2
8.710,2
8.720,2
8.730,2
8.740,2
8.750,2
8.760,2
8.770,2
8.780,2
8.790,2
8.800,2
8.810,2
8.820,2
8.830,2
8.840,2
8.850,2
8.860,2
8.870,2
8.880,2
8.890,2
8.900,2
8.910,2
8.920,2
8.930,2
8.940,2
8.950,2
8.960,2
8.970,2
8.980,2
8.990,2
9.000,2
9.010,2
9.020,2
9.030,2
9.040,2
9.050,2
9.060,2
9.070,2
9.080,2
9.090,2
9.100,2
9.110,2
9.120,2
9.130,2
9.140,2
9.150,2
9.160,2
9.170,5
9.180,5
9.190,5
9.200,5
9.210,5
9.220,5
9.230,5
9.240,5
9.250,5
9.260,5
9.270,5
9.280,5
9.290,5
9.300,5
9.310,5
9.320,5
9.330,5
9.340,5
9.350,5
9.360,5
9.370,5
9.380,5
9.390,5
9.400,5
9.410,5
9.420,5
9.430,5
9.440,5
9.450,5
9.460,5
9.470,5
9.480,5
9.490,5
9.500,5
9.510,5
9.520,5
9.530,5
9.540,5
9.550,5
9.560,5
9.570,7
9.580,1
9.590,1
9.600,1
9.610,1
9.620,1
9.630,1
9.640,1
9.650,1
9.660,1
9.670,1
9.680,1
9.690,3
9.700,3
9.710,3
9.720,3
9.730,3
9.740,3
9.750,3
9.760,3
9.770,3
9.780,3
9.790,3
9.800,3
9.810,3
9.820,3
9.830,3
9.840,3
9.850,3
9.860,3
9.870,3
9.880,3
9.890,3
9.900,3
9.910,3
9.920,3
9.930,3
9.940,3
9.950,3
9.960,3
9.970,3
9.980,3
9.990,3
10.000,3
10.010,3
10.020,3
10.030,3
10.040,3
10.050,3
10.060,7
10.070,7
10.080,7
10.090,7
10.100,7
10.110,7
10.120,7
10.130,7
10.140,7
10.150,7
10.160,7
10.170,7
10.180,5
10.190,5
10.200,5
10.210,5
10.220,5
10.230,5
10.240,5
10.250,5
10.260,5
10.270,5
10.280,5
10.290,5
10.300,5
10.310,5
10.320,5
10.330,5
10.340,5
10.350,5
10.360,5
10.370,5
10.380,5
10.390,5
10.400,5
10.410,5
10.420,5
10.430,5
10.440,5
10.450,5
10.460,5
10.470,5
10.480,5
10.490,5
10.500,5
10.510,5
10.520,5
10.530,5
10.540,5
10.550,5
10.560,5
10.570,5
10.580,5
10.590,5
10.600,5
10.610,1
10.620,1
10.630,1
10.640,1
10.650,1
10.660,1
10.670,1
10.680,1
10.690,1
10.700,1
10.710,1
10.720,1
10.730,1
10.740,1
10.750,1
10.760,1
10.770,1
10.780,1
10.790,1
10.800,1
10.810,3
10.820,3
10.830,3
10.840,3
10.850,3
10.860,3
10.870,3
10.880,3
10.890,3
10.900,3
10.910,3
10.920,3
10.930,3
10.940,3
10.950,3
10.960,3
10.970,3
10.980,3
10.990,3
11.000,3
11.010,3
11.020,3
11.030,3
11.040,3
11.050,3
11.060,3
11.070,3
11.080,3
11.090,3
11.100,3
11.110,3
11.120,3
11.130,3
11.140,3
11.150,3
11.160,3
11.170,3
11.180,3
11.190,3
11.200,3
11.210,3
11.220,3
11.230,3
11.240,3
11.250,3
11.260,3
11.270,3
11.280,3
11.290,3
11.300,3
11.310,3
11.320,3
11.330,3
11.340,3
11.350,3
11.360,3
11.370,3
11.380,3
11.390,3
11.400,3
11.410,3
11.420,3
11.430,3
11.440,3
11.450,3
11.460,3
11.470,3
11.480,3
11.490,3
11.500,3
11.510,3
11.520,3
11.530,3
11.540,3
11.550,3
11.560,3
11.570,3
11.580,3
11.590,3
11.600,3
11.610,3
11.620,3
11.630,3
11.640,4
11.650,4
11.660,4
11.670,4
11.680,4
11.690,4
11.700,4
11.710,4
11.720,4
11.730,4
11.740,4
11.750,4
11.760,4
11.770,4
11.780,4
11.790,4
11.800,4
11.810,4
11.820,4
11.830,4
11.840,4
11.850,4
11.860,4
11.870,4
11.880,4
11.890,4
11.900,4
11.910,4
11.920,4
11.930,4
11.940,4
11.950,4
11.960,4
11.970,4
11.980,4
11.990,4
12.000,4
12.010,4
12.020,4
12.030,4
12.040,4
12.050,4
12.060,4
12.070,4
12.080,2
12.090,2
12.100,2
12.110,2
12.120,2
12.130,2
12.140,2
12.150,2
12.160,2
12.170,2
12.180,2
12.190,2
12.200,2
12.210,2
12.220,2
12.230,2
12.240,2
12.250,2
12.260,2
12.270,2
12.280,2
12.290,2
12.300,2
12.310,2
12.320,2
12.330,2
12.340,2
12.350,2
12.360,2
12.370,2
12.380,2
12.390,2
12.400,2
12.410,2
12.420,2
12.430,2
12.440,2
12.450,2
12.460,2
12.470,2
12.480,2
12.490,2
12.500,2
12.510,2
12.520,2
12.530,2
12.540,2
12.550,2
12.560,2
12.570,2
12.580,2
12.590,2
12.600,2
12.610,2
12.620,2
12.630,2
12.640,2
12.650,2
12.660,2
12.670,2
12.680,2
12.690,2
12.700,2
12.710,2
12.720,3
12.730,3
12.740,3
12.750,3
12.760,3
12.770,3
12.780,3
12.790,3
12.800,3
12.810,3
12.820,3
12.830,3
12.840,3
12.850,3
12.860,3
12.870,3
12.880,3
12.890,3
